Dátum;Idő;Konyha(East) C;Konyha(East) P ;Előszoba(South) C;Előszoba(South) P;Lépcső(West) C;Lépcső(West) P;Lépcső(North) C;Lépcső(North) P;Galéria (Roof) C;Galéria(Roof) P;Kint (Outside) C;Kint (Outside) P;;;;;;;;;;;
2023-06-14;14:00:00;24,7;59;23,3;50;23,9;50;23,3;52;24,6;47;;;;;;;;;;;;;
2023-06-14;18:00:00;25;55;23,6;52;24;53;23,5;51;25,3;49;;;;;;;;;;;;;
2023-06-15;08:00:00;24;58;22;46;23,5;46;24;49;24,6;50;;;;;;;;;;;;;
2023-06-15;10:00:00;24,4;61;22;47;23,5;46;23;48;24,3;45;;;;;;;;;;;;;
2023-06-15;11:00:00;24,7;63;23,5;48;23,5;47;22,9;51;24,7;48;;;;;;;;;;;;;
2023-06-15;15:00:00;25,4;58;23,7;53;23,9;49;23,3;52;25,5;50;;;;;;;;;;;;;
2023-06-15;17:00:00;25,6;58;24,3;53;24;51;23,5;51;26;52;;;;;;;;;;;;;
2023-06-15;20:00:00;25,4;55;24,8;51;24,3;55;24;49;26,6;51;;;;;;;;;;;;;
2023-06-16;07:00:00;23,5;51;22,8;47;23,3;47;23;48;24,8;48;;;;;;;;;;;;;
2023-06-16;10:00:00;24,7;53;23,2;48;23,1;50;22,9;51;24,9;47;;;;;;;;;;;;;
2023-06-16;12:00:00;25,2;52;23,6;49;23,5;51;23;51;25,3;46;;;;;;;;;;;;;
2023-06-16;14:00:00;25,5;46;24,5;46;23,6;51;25,1;50;25,7;45;;;;;;;;;;;;;
2023-06-16;17:00:00;25,7;54;24,5;51;23,7;53;23,3;49;26;48;;;;;;;;;;;;;
2023-06-17;06:00:00;23,5;49;23,1;45;23,5;46;23,3;47;25;47;;;;;;;;;;;;;
2023-06-17;10:00:00;25;51;24,4;46;23,4;48;23,1;49;25,3;46;;;;;;;;;;;;;
2023-06-17;13:00:00;25,4;49;24,7;47;23,5;49;23,4;49;25,6;46;;;;;;;;;;;;;
2023-06-17;18:00:00;26,2;50;25,4;49;24,3;50;24,9;48;26,5;47;;;;;;;;;;;;;
2023-06-18;10:00:00;25;51;23,7;46;23;46;23;49;25;46;;;;;;;;;;;;;
2023-06-18;15:00:00;26;51;24,9;48;24,3;47;24;49;26,4;49;;;;;;;;;;;;;
2023-06-18;19:00:00;26,6;49;26,1;49;25;53;24;50;27,8;49;;;;;;;;;;;;;
2023-06-19;07:00:00;25;52;24;48;24;49;23;50;26;45;;;;;;;;;;;;;
2023-06-19;12:00:00;25,8;53;27,3;53;25;56;24,5;53;27,5;52;;;;;;;;;;;;;
2023-06-19;18:00:00;27,5;53;28;48;26;56;25;54;28;52;;;;;;;;;;;;;
2023-06-19;22:00:00;27,6;56;27,5;57;26;61;25,5;55;29;54;;;;;;;;;;;;;
2023-06-20;06:00:00;26,4;52;25,3;55;25,1;51;24,9;51;27,3;49;;;;;;;;;;;;;
2023-06-20;21:00:00;28,5;62;28,5;56;26,7;64;26,3;59;30;55;;;;;;;;;;;;;
2023-06-21;08:00:00;27,6;62;26,3;65;26,2;63;26;59;28,9;55;;;;;;;;;;;;;
2023-06-21;14:45:00;28,6;60;28,6;56;26,5;62;26,3;62;29,4;57;;;;;;;;;;;;;
2023-06-21;19:20:00;28,9;60;27;65;26,7;62;28,8;62;30,3;60;;;;;;;;;;;;;
2023-06-21;21:30:00;29;64;28,5;61;27,9;69;26,7;63;30;57;;;;;;;;;;;;;
2023-06-22;08:00:00;28;59;26;62;26;58;26;57;29;56;;;;;;;;;;;;;
2023-06-22;11:00:00;28,7;62;27,8;58;26,9;61;26,6;60;29,1;58;;;;;;;;;;;;;
2023-06-22;21:00:00;29;60;29;67;27;57;27;56;30,5;62;;;;;;;;;;;;;
2023-06-23;08:00:00;28;58;28;55;27;63;27;63;29;57;;;;;;;;;;;;;
2023-06-23;11:00:00;29;62;28;58;27;62;27;62;29;59;;;;;;;;;;;;;
2023-06-23;16:00:00;29;50;29;47;27;56;26;56;29;50;;;;;;;;;;;;;
2023-06-23;19:00:00;29;53;28;50;27;53;26;53;29;52;;;;;;;;;;;;;
2023-06-24;08:00:00;26;50;25;51;25;51;24;51;26;49;;;;;;;;;;;;;
2023-06-24;19:30:00;26;53;26;51;25;51;24;51;26;53;;;;;;;;;;;;;
2023-06-25;09:30:00;26;53;25;52;25;53;24;53;26;53;;;;;;;;;;;;;
2023-06-25;14:00:00;27;53;26;48;25;52;24;52;27;50;;;;;;;;;;;;;
2023-06-25;19:00:00;27;55;27;47;25;50;25;50;27;49;;;;;;;;;;;;;
2023-06-26;08:30:00;26;50;25;52;25;41;24;41;26;50;;;;;;;;;;;;;
2023-06-26;21:30:00;28;54;27;49;26;54;25;54;29;54;;;;;;;;;;;;;
2023-06-27;08:00:00;27;54;25;55;25;54;25;54;27;52;;;;;;;;;;;;;
2023-06-27;15:30:00;27;51;26;51;25;50;25;50;27;50;;;;;;;;;;;;;
2023-06-28;10:00:00;27;45;26;41;24;48;25;45;26;46;;;;;;;;;;;;;
2023-06-28;09:00:00;24;48;24;48;22;47;23;45;23;45;;;;;;;;;;;;;
2023-06-28;13:00:00;25;47;25;47;24;42;24;46;27;46;;;;;;;;;;;;;
2023-06-28;16:00:00;26;44;26;44;24;41;24;46;24;46;;;;;;;;;;;;;
2023-06-28;19:00:00;26;47;26;47;25;42;25;46;23;46;;;;;;;;;;;;;
2023-06-29;06:30:00;24;47;24;47;24;42;24;44;24;44;;;;;;;;;;;;;
2023-06-29;09:00:00;26;48;26;48;25;50;25;50;24;50;;;;;;;;;;;;;
2023-06-30;07:00:00;25;50;25;50;24;49;24;50;24;50;;;;;;;;;;;;;
2023-06-30;11:00:00;26;49;26;49;26;48;26;52;25;52;;;;;;;;;;;;;
2023-06-30;15:00:00;26;52;26;49;25;53;25;52;27;53;;;;;;;;;;;;;
2023-06-30;21:00:00;27;53;27;53;27;54;26;53;26;53;;;;;;;;;;;;;
2023-07-01;07:00:00;27;57;26;51;25;54;25;53;27;52;;;;;;;;;;;;;
2023-07-01;18:00:00;28;52;27;49;26;60;26;55;28;51;;;;;;;;;;;;;
2023-07-02;08:00:00;26;48;26;44;25;51;25;52;26;47;;;;;;;;;;;;;
2023-07-02;15:00:00;28;50;27;45;26;52;25;54;28;47;;;;;;;;;;;;;
2023-07-02;19:00:00;27;45;27;41;25;56;25;51;28;44;;;;;;;;;;;;;
2023-07-03;07:00:00;26;47;24;45;25;47;25;48;26;43;;;;;;;;;;;;;
2023-07-03;20:00:00;27;51;26;48;26;51;25;52;27;46;;;;;;;;;;;;;
2023-07-04;09:00:00;26;50;26;52;26;50;25;51;27;48;;;;;;;;;;;;;
2023-07-04;19:00:00;28;54;27;52;26;54;26;53;28;51;;;;;;;;;;;;;
2023-07-05;08:00:00;25;53;25;46;25;50;25;51;26;46;;;;;;;;;;;;;
2023-07-05;11:00:00;26;53;24;58;25;52;25;52;27;54;;;;;;;;;;;;;
2023-07-05;22:00:00;27;55;27;53;27;52;26;54;28;54;;;;;;;;;;;;;
2023-07-06;08:00:00;25;53;25;50;26;48;25;52;26;49;;;;;;;;;;;;;
2023-07-06;11:00:00;27;49;26;48;25;50;24;52;26;48;;;;;;;;;;;;;
2023-07-06;21:30:00;27;53;27;50;26;55;25;52;27;49;;;;;;;;;;;;;
2023-07-07;08:00:00;26;52;25;50;25;50;24;51;26;49;;;;;;;;;;;;;
2023-07-07;10:00:00;26;49;26;48;25;49;25;52;26;48;;;;;;;;;;;;;
2023-07-07;11:00:00;27;45;26;45;25;49;24;52;26;44;;;;;;;;;;;;;
2023-07-07;18:00:00;27;47;27;38;25;53;25;50;26;41;;;;;;;;;;;;;
2023-07-07;22:00:00;28;48;27;45;26;52;25;50;28;46;;;;;;;;;;;;;
2023-07-08;09:00:00;24;47;23;41;24;47;24;47;25;43;;;;;;;;;;;;;
2023-07-08;20:00:00;26;51;27;49;27;50;25;50;29;47;;;;;;;;;;;;;
2023-07-09;08:00:00;26;47;25;45;25;47;25;49;27;45;;;;;;;;;;;;;
2023-07-09;12:00:00;28;49;26;44;26;44;26;44;28;46;;;;;;;;;;;;;
2023-07-09;15:00:00;28;41;28;39;26;47;26;47;28;43;;;;;;;;;;;;;
2023-07-09;17:00:00;28;45;28;42;26;48;26;48;29;43;;;;;;;;;;;;;
2023-07-09;19:00:00;28;44;28;41;26;45;26;45;29;49;;;;;;;;;;;;;
2023-07-10;07:00:00;27;50;26;44;26;48;25;50;27;45;;;;;;;;;;;;;
2023-07-11;07:00:00;27;50;26;44;26;48;25;50;27;45;;;;;;;;;;;;;
2023-07-11;10:00:00;28;51;27;49;26;47;26;51;28;48;;;;;;;;;;;;;
2023-07-11;11:00:00;28;51;27;48;27;51;25;52;28;50;;;;;;;;;;;;;
2023-07-11;21:00:00;28;59;26;55;26;55;26;52;29;49;;;;;;;;;;;;;
2023-07-12;07:00:00;24;47;23;41;24;46;24;47;25;43;;;;;;;;;;;;;
2023-07-12;20:00:00;28;51;27;49;27;49;25;50;29;47;;;;;;;;;;;;;
2023-07-13;08:00:00;26;47;25;45;25;47;25;49;27;45;;;;;;;;;;;;;
2023-07-14;12:00:00;28;49;26;44;26;44;25;51;28;46;;;;;;;;;;;;;
2023-07-14;15:00:00;28;41;28;39;26;47;25;49;28;43;;;;;;;;;;;;;
2023-07-14;17:00:00;28;45;28;42;26;47;25;51;29;43;;;;;;;;;;;;;
